Facility ID,Facility Name,Short Description,Description,Facility Open Date,Facility Address 1,Facility Address 2,Facility City,Facility State,Facility Zip Code,Facility Phone Number,Facility Fax Number,Facility Website,Facility County Code,Facility County,Regional Office ID,Regional Office,Main Site Name,Main Site Facility ID,Operating Certificate Number,Operator Name,Operator Address 1,Operator Address 2,Operator City,Operator State,Operator Zip Code,Cooperator Name,Cooperator Address,Cooperator Address 2,Cooperator City,Cooperator State,Cooperator Zip Code,Ownership Type,Facility Latitude,Facility Longitude,Facility Location
468,Lower Eastside Service Center Inc,DTC-EC,Diagnostic and Treatment Center Extension Clinic,10/15/1980,46 East Broadway,,New York,New York,10002,2122335372,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Lower Eastside Service Center Inc,1562,7002293R,Lower Eastside Service Center Inc,46 East Broadway,,New York,New York,10002,,,,,New York,,Not for Profit Corporation,40.713638,-73.99585,"(40.713638, -73.99585)"
441,Lower Eastside Service Center Inc,DTC-EC,Diagnostic and Treatment Center Extension Clinic,10/15/1980,62 East Broadway,,New York,New York,10002,2122335372,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Lower Eastside Service Center Inc,1562,7002293R,Lower Eastside Service Center Inc,46 East Broadway,,New York,New York,10002,,,,,New York,,Not for Profit Corporation,40.713696,-73.995163,"(40.713696, -73.995163)"
9706,Atara Home Care,CHHA,Certified Home Health Agency,6/25/2014,3525 Baychester Avenue,,Bronx,New York,10466,2122355100,2122355411,,7094,Bronx,5,Metropolitan Area Regional Office - New York City,,,7002662,Fort Tryon Rehabilitation & Health Care Facility LLC,801 W 190th Street,,New York,New York,10040,,,,,New York,,LLC,40.881912,-73.839577,"(40.881912, -73.839577)"
8516,Fort Tryon Long Term Home Health Care Program,LTHHCP,Long Term Home Health Care Program,7/12/2006,3525 Baychester Avenue,,Bronx,New York,10466,2122355100,2122355411,,7094,Bronx,5,Metropolitan Area Regional Office - New York City,,,7002913L,Fort Tryon Rehabilitation & Health Care Facility LLC,801 W 190th Street,,New York,New York,10040,,,,,New York,,LLC,40.881912,-73.839577,"(40.881912, -73.839577)"
1536,Lower Manhattan Health District,DTC-EC,Diagnostic and Treatment Center Extension Clinic,9/27/1979,303 9th Avenue,,New York,New York,10001,2122371707,,,7093,New York,5,Metropolitan Area Regional Office - New York City,New York City Department of Health and Mental Hygiene,1339,7002112R,City of New York,250 Church Street,,New York,New York,10013,,,,,New York,,Municipality,40.749596,-73.999138,"(40.749596, -73.999138)"
1606,New Gouverneur Hospital SNF,NH,Residential Health Care Facility - SNF,1/1/1901,227 Madison Street,,New York,New York,10002,2122387000,2122387760,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002343N,New York City Health and Hospital Corporation,125 Worth Street,,New York,New York,10013,,,,,New York,,Municipality,40.712891,-73.987694,"(40.712891, -73.987694)"
1490,Gouverneur Diagnostic and Treatment Center,DTC,Diagnostic and Treatment Center,1/1/1901,227 Madison Street,,New York,New York,10002,2122387000,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002103R,New York City Health and Hospital Corporation,125 Worth Street,,New York,New York,10013,"Gotham Health FQHC, Inc.",Care of NYC Health and Hospital Corp.,125 Worth Street,New York,New York,10013,Municipality,40.712891,-73.987694,"(40.712891, -73.987694)"
6997,Bayard Rustin Education Complex (BREC),HOSP-SB,School Based Hospital Extension Clinic,9/12/2007,West 18th Street,,New York,New York,10011,2122415866,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Mount Sinai Hospital,1456,7002024H,The Mount Sinai Hospital,One Gustave L Levy Place,,New York,New York,10029,"Mount Sinai Hospitals Group, Inc.",One Gustave L. Levy Place,,New York,New York,10029,Not for Profit Corporation,40.73867,-73.992249,"(40.73867, -73.992249)"
9009,Center for Advanced Medicine,HOSP-EC,Hospital Extension Clinic,3/26/2008,5 East 102nd Street,,New York,New York,10029,2122416500,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Mount Sinai Hospital,1456,7002024H,The Mount Sinai Hospital,One Gustave L Levy Place,,New York,New York,10029,"Mount Sinai Hospitals Group, Inc.",One Gustave L. Levy Place,,New York,New York,10029,Not for Profit Corporation,40.791565,-73.952438,"(40.791565, -73.952438)"
5556,Mount Sinai Kidney Center,HOSP-EC,Hospital Extension Clinic,12/22/1994,520 East 117th Street,,New York,New York,10035,2122417005,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Mount Sinai Hospital,1456,7002024H,The Mount Sinai Hospital,One Gustave L Levy Place,,New York,New York,10029,"Mount Sinai Hospitals Group, Inc.",One Gustave L. Levy Place,,New York,New York,10029,Not for Profit Corporation,40.795041,-73.931943,"(40.795041, -73.931943)"
4618,Manhattan Center for Math & Science,HOSP-SB,School Based Hospital Extension Clinic,7/1/1992,FDR Drive & E 116th Street,,New York,New York,10029,2122417005,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Mount Sinai Hospital,1456,7002024H,The Mount Sinai Hospital,One Gustave L Levy Place,,New York,New York,10029,"Mount Sinai Hospitals Group, Inc.",One Gustave L. Levy Place,,New York,New York,10029,Not for Profit Corporation,40.794697,-73.933334,"(40.794697, -73.933334)"
4622,JHS 117 (Alternative Education Complex),HOSP-SB,School Based Hospital Extension Clinic,7/1/1992,240 East 109th Street,,New York,New York,10029,2122417005,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Mount Sinai Hospital,1456,7002024H,The Mount Sinai Hospital,One Gustave L Levy Place,,New York,New York,10029,"Mount Sinai Hospitals Group, Inc.",One Gustave L. Levy Place,,New York,New York,10029,Not for Profit Corporation,40.792706,-73.941544,"(40.792706, -73.941544)"
4621,PS 108,HOSP-SB,School Based Hospital Extension Clinic,7/1/1992,1615 Madison Avenue,,New York,New York,10029,2122417005,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Mount Sinai Hospital,1456,7002024H,The Mount Sinai Hospital,One Gustave L Levy Place,,New York,New York,10029,"Mount Sinai Hospitals Group, Inc.",One Gustave L. Levy Place,,New York,New York,10029,Not for Profit Corporation,40.795238,-73.948235,"(40.795238, -73.948235)"
4620,PS 83 Mendoza School,HOSP-SB,School Based Hospital Extension Clinic,7/1/1992,219 East 109th Street,,New York,New York,10029,2122417005,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Mount Sinai Hospital,1456,7002024H,The Mount Sinai Hospital,One Gustave L Levy Place,,New York,New York,10029,"Mount Sinai Hospitals Group, Inc.",One Gustave L. Levy Place,,New York,New York,10029,Not for Profit Corporation,40.792862,-73.941612,"(40.792862, -73.941612)"
4779,PS 38,HOSP-SB,School Based Hospital Extension Clinic,8/17/1993,232 East 103rd Street,,New York,New York,10029,2122417005,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Mount Sinai Hospital,1456,7002024H,The Mount Sinai Hospital,One Gustave L Levy Place,,New York,New York,10029,"Mount Sinai Hospitals Group, Inc.",One Gustave L. Levy Place,,New York,New York,10029,Not for Profit Corporation,40.788795,-73.944283,"(40.788795, -73.944283)"
1456,Mount Sinai Hospital,HOSP,Hospital,1/1/1901,One Gustave L Levy Place,,New York,New York,10029,2122417005,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002024H,The Mount Sinai Hospital,One Gustave L Levy Place,,New York,New York,10029,"Mount Sinai Hospitals Group, Inc.",One Gustave L. Levy Place,,New York,New York,10029,Not for Profit Corporation,40.790482,-73.953766,"(40.790482, -73.953766)"
4619,Julia Richman High School,HOSP-SB,School Based Hospital Extension Clinic,7/1/1992,317 E 67th Street,,New York,New York,10021,2122417005,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Mount Sinai Hospital,1456,7002024H,The Mount Sinai Hospital,One Gustave L Levy Place,,New York,New York,10029,"Mount Sinai Hospitals Group, Inc.",One Gustave L. Levy Place,,New York,New York,10029,Not for Profit Corporation,40.76569,-73.960709,"(40.76569, -73.960709)"
5721,Mt Sinai Adolescent Health Center,HOSP-EC,Hospital Extension Clinic,3/3/1995,320 East 94th St,,New York,New York,10128,2122417005,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Mount Sinai Hospital,1456,7002024H,The Mount Sinai Hospital,One Gustave L Levy Place,,New York,New York,10029,"Mount Sinai Hospitals Group, Inc.",One Gustave L. Levy Place,,New York,New York,10029,Not for Profit Corporation,40.782509,-73.947136,"(40.782509, -73.947136)"
4435,Psychiatric Out-Patient Clinic,HOSP-EC,Hospital Extension Clinic,2/8/1991,1160 Fifth Avenue,,New York,New York,10029,2122417005,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Mount Sinai Hospital,1456,7002024H,The Mount Sinai Hospital,One Gustave L Levy Place,,New York,New York,10029,"Mount Sinai Hospitals Group, Inc.",One Gustave L. Levy Place,,New York,New York,10029,Not for Profit Corporation,40.788605,-73.955139,"(40.788605, -73.955139)"
10001,IS45 Educational Campus,HOSP-SB,School Based Hospital Extension Clinic,12/1/2016,2351 1st Avenue,,Manhattan,New York,10035,2122418015,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Mount Sinai Hospital,1456,7002024H,The Mount Sinai Hospital,One Gustave L Levy Place,,New York,New York,10029,"Mount Sinai Hospitals Group, Inc.",One Gustave L. Levy Place,,New York,New York,10029,Not for Profit Corporation,40.799306,-73.933101,"(40.799306, -73.933101)"
6908,"Gramercy Surgery Center, Inc",DTC,Diagnostic and Treatment Center,12/6/2006,"380 2nd Avenue, Suite 1000",,New York,New York,10010,2122545350,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002183R,"Gramercy Surgery Center, Inc","380 2nd Avenue, Suite 1000",,New York,New York,10010,,,,,New York,,Business Corporation,40.737343,-73.981209,"(40.737343, -73.981209)"
6177,NYU Langone Occupational and Industrial Orthopaedic Center (OIOC),HOSP-EC,Hospital Extension Clinic,1/1/2006,63 Downing St,,New York,New York,10014,2122556690,,,7093,New York,5,Metropolitan Area Regional Office - New York City,NYU Langone Hospitals,1463,7002053H,NYU Langone Hospitals,550 First Avenue,,New York,New York,10016,,,,,New York,,Not for Profit Corporation,40.72916,-74.004402,"(40.72916, -74.004402)"
6649,NYU Langone Perlmutter Cancer Center-34th Street,HOSP-EC,Hospital Extension Clinic,9/30/2003,160 East 34th Street,,New York,New York,10016,2122635221,2122638460,,7093,New York,5,Metropolitan Area Regional Office - New York City,NYU Langone Hospitals,1463,7002053H,NYU Langone Hospitals,550 First Avenue,,New York,New York,10016,,,,,New York,,Not for Profit Corporation,40.745934,-73.978752,"(40.745934, -73.978752)"
9342,NYU Langone Rusk Ambulatory Care Center,HOSP-EC,Hospital Extension Clinic,5/1/2012,240 East 38th Street,,New York,New York,10016,2122635221,2122638460,,7093,New York,5,Metropolitan Area Regional Office - New York City,NYU Langone Hospitals,1463,7002053H,NYU Langone Hospitals,550 First Avenue,,New York,New York,10016,,,,,New York,,Not for Profit Corporation,40.747627,-73.974976,"(40.747627, -73.974976)"
1463,NYU Langone Hospitals,HOSP,Hospital,6/17/1980,550 First Avenue,,New York,New York,10016,2122635500,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002053H,NYU Langone Hospitals,550 First Avenue,,New York,New York,10016,,,,,New York,,Not for Profit Corporation,40.742874,-73.974159,"(40.742874, -73.974159)"
8603,NYU Langone Transplant Clinic (Rivergate Extension),HOSP-EC,Hospital Extension Clinic,4/30/2008,"317 East 34th Street, 8th Floor",,New York,New York,10016,2122637447,,,7093,New York,5,Metropolitan Area Regional Office - New York City,NYU Langone Hospitals,1463,7002053H,NYU Langone Hospitals,550 First Avenue,,New York,New York,10016,,,,,New York,,Not for Profit Corporation,40.744404,-73.974831,"(40.744404, -73.974831)"
4428,NYU Langone Hassenfeld and Fink Children's Center,HOSP-EC,Hospital Extension Clinic,1/1/1998,160 East 32nd Street,,New York,New York,10016,2122638400,,,7093,New York,5,Metropolitan Area Regional Office - New York City,NYU Langone Hospitals,1463,7002053H,NYU Langone Hospitals,550 First Avenue,,New York,New York,10016,,,,,New York,,Not for Profit Corporation,40.744732,-73.979897,"(40.744732, -73.979897)"
6288,Ryan/Chelsea-Clinton Community Health Center,DTC,Diagnostic and Treatment Center,9/5/2001,645 Tenth Ave,,New York,New York,10036,2122654500,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002169R,"Ryan/Chelsea-Clinton Community Health Center, Inc.",645 Tenth Ave,,New York,New York,10036,,,,,New York,,Not for Profit Corporation,40.76181,-73.99395,"(40.76181, -73.99395)"
10094,Park West Educational Campus,,School Based Diagnostic and Treatment Center Extension Clinic,9/14/2017,525 West 50th St,,New York,New York,10019,2122654500,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Ryan/Chelsea-Clinton Community Health Center,6288,7002169R,"Ryan/Chelsea-Clinton Community Health Center, Inc.",645 Tenth Ave,,New York,New York,10036,,,,,New York,,Not for Profit Corporation,40.765225,-73.992892,"(40.765225, -73.992892)"
10338,Callen-Lorde Community Health Center Mobile Unit ll,,Mobile Diagnostic and Treatment Center Extension Clinic,9/26/2019,356 West 18th Street,,New York,New York,10011,2122717214,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Michael Callen-Audre Lorde Community Health Center,7511,7002160R,"Community Health Project, Inc",356 West 18th Street,,New York,New York,10011,,,,,New York,,Not for Profit Corporation,,,
7511,Michael Callen-Audre Lorde Community Health Center,DTC,Diagnostic and Treatment Center,3/2/1998,356 West 18th Street,,New York,New York,10011,2122717250,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002160R,"Community Health Project, Inc",356 West 18th Street,,New York,New York,10011,,,,,New York,,Not for Profit Corporation,40.743156,-74.003014,"(40.743156, -74.003014)"
9529,"The New Jewish Home, Home Care",CHHA,Certified Home Health Agency,8/15/2013,"104 West 29th Street, 8th floor",,New York,New York,10001,2122732500,2127361149,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002659,"Jewish Home Lifecare, Community Services",120 West 106th Street,,New York,New York,10025,,,,,New York,,Not for Profit Corporation,40.746712,-73.990334,"(40.746712, -73.990334)"
6844,Project St Beat Mobile Medical Unit,DTC-EC,Diagnostic and Treatment Center Extension Clinic,1/13/2006,26 Bleecker Street,,New York,New York,10012,2122744823,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Margaret Sanger Center,1543,7002273R,Planned Parenthood of New York City Inc,380 Park Avenue South,,New York,New York,10010,,,,,New York,,Not for Profit Corporation,40.725521,-73.993538,"(40.725521, -73.993538)"
1543,Margaret Sanger Center,DTC,Diagnostic and Treatment Center,9/27/1979,26 Bleecker Street,,New York,New York,10012,2122747200,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002273R,Planned Parenthood of New York City Inc,380 Park Avenue South,,New York,New York,10010,,,,,New York,,Not for Profit Corporation,40.725521,-73.993538,"(40.725521, -73.993538)"
2872,Public Health Solutions Fort Greene Center,DTC,Diagnostic and Treatment Center,9/27/1979,295 Flatbush Avenue Extension,,Brooklyn,New York,11201,2122850220,,,7095,Kings,5,Metropolitan Area Regional Office - New York City,,,7002296R,Public Health Solutions,22 Church Street,,New York,New York,10013,,,,,New York,,Not for Profit Corporation,40.691814,-73.982254,"(40.691814, -73.982254)"
1512,East Harlem Council for Human Services Inc,DTC,Diagnostic and Treatment Center,1/1/1901,2265 Third Avenue,,New York,New York,10035,2122896650,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002217R,East Harlem Council for Human Services Inc,2253 Third Avenue,,New York,New York,10035,,,,,New York,,Not for Profit Corporation,40.802544,-73.936569,"(40.802544, -73.936569)"
8615,"Carnegie Hill Institute, Inc",DTC,Diagnostic and Treatment Center,6/27/2008,116 East 92nd Street,,New York,New York,10128,2122897166,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002190R,"Carnegie Hill Institute, Inc",116 East 92nd Street,,New York,New York,10010,,,,,New York,,Business Corporation,40.783539,-73.953506,"(40.783539, -73.953506)"
4691,Intermediate School 52 Inwood,HOSP-SB,School Based Hospital Extension Clinic,1/1/2003,650 Academy Street,,New York,New York,10034,2123044488,,,7093,New York,5,Metropolitan Area Regional Office - New York City,New York-Presbyterian Hospital - New York Weill Cornell Center,1458,7002054H,The New York and Presbyterian Hospital,622 West 168th Street,,New York,New York,10032,,,,,New York,,Not for Profit Corporation,40.866032,-73.924896,"(40.866032, -73.924896)"
6985,Thurgood Marshall Academy,HOSP-SB,School Based Hospital Extension Clinic,4/17/2007,200-214 West 135th Street,,New York,New York,10030,2123045209,,,7093,New York,5,Metropolitan Area Regional Office - New York City,New York-Presbyterian Hospital - New York Weill Cornell Center,1458,7002054H,The New York and Presbyterian Hospital,622 West 168th Street,,New York,New York,10032,,,,,New York,,Not for Profit Corporation,40.815411,-73.944115,"(40.815411, -73.944115)"
1537,Washington Heights Health Center,DTC-EC,Diagnostic and Treatment Center Extension Clinic,9/27/1979,600 West 168th St,,New York,New York,10032,2123045429,,,7093,New York,5,Metropolitan Area Regional Office - New York City,New York City Department of Health and Mental Hygiene,1339,7002112R,City of New York,250 Church Street,,New York,New York,10013,,,,,New York,,Municipality,40.841106,-73.939987,"(40.841106, -73.939987)"
5623,Riverside Health Center,DTC-EC,Diagnostic and Treatment Center Extension Clinic,11/28/1994,160 West 100th Street,,New York,New York,10025,2123045429,,,7093,New York,5,Metropolitan Area Regional Office - New York City,New York City Department of Health and Mental Hygiene,1339,7002112R,City of New York,250 Church Street,,New York,New York,10013,,,,,New York,,Municipality,40.796234,-73.967621,"(40.796234, -73.967621)"
9272,John F. Kennedy Education Campus,HOSP-SB,School Based Hospital Extension Clinic,11/29/2011,99 Terrace View Avenue,,Bronx,New York,10463,2123046076,,,7094,Bronx,5,Metropolitan Area Regional Office - New York City,New York-Presbyterian Hospital - New York Weill Cornell Center,1458,7002054H,The New York and Presbyterian Hospital,622 West 168th Street,,New York,New York,10032,,,,,New York,,Not for Profit Corporation,40.876953,-73.912514,"(40.876953, -73.912514)"
3995,Broadway Clinic,HOSP-EC,Hospital Extension Clinic,12/31/2002,4781-4783 Broadway,,New York,New York,10034,2123046920,,,7093,New York,5,Metropolitan Area Regional Office - New York City,New York-Presbyterian Hospital - New York Weill Cornell Center,1458,7002054H,The New York and Presbyterian Hospital,622 West 168th Street,,New York,New York,10032,,,,,New York,,Not for Profit Corporation,40.865959,-73.926247,"(40.865959, -73.926247)"
6292,Mobile Dental Center,DTC-EC,Diagnostic and Treatment Center Extension Clinic,4/30/2001,533 West 218th St,,New York,New York,10034,2123051045,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Columbia University Health Care Inc,7078,7002157R,"Columbia University Health Care, Inc",630 West 168th Street,,New York,New York,10032,,,,,New York,,Not for Profit Corporation,40.872353,-73.916695,"(40.872353, -73.916695)"
1464,New York-Presbyterian Hospital - Columbia Presbyterian Center,HOSP,Hospital,2/1/1980,622 West 168th Street,,New York,New York,10032,2123052500,,,7093,New York,5,Metropolitan Area Regional Office - New York City,New York-Presbyterian Hospital - New York Weill Cornell Center,1458,7002054H,The New York and Presbyterian Hospital,622 West 168th Street,,New York,New York,10032,,,,,New York,,Not for Profit Corporation,40.841415,-73.940704,"(40.841415, -73.940704)"
3975,New York-Presbyterian Hospital - Allen Hospital,HOSP,Hospital,7/18/1988,5141 Broadway,,New York,New York,10034,2123053710,,,7093,New York,5,Metropolitan Area Regional Office - New York City,New York-Presbyterian Hospital - New York Weill Cornell Center,1458,7002054H,The New York and Presbyterian Hospital,622 West 168th Street,,New York,New York,10032,,,,,New York,,Not for Profit Corporation,40.872475,-73.912773,"(40.872475, -73.912773)"
6773,CUHC Mobile Unit,,School Based Diagnostic and Treatment Center Extension Clinic,2/22/2005,630 West 168th Street,,New York,New York,10032,2123058527,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Columbia University Health Care Inc,7078,7002157R,"Columbia University Health Care, Inc",630 West 168th Street,,New York,New York,10032,,,,,New York,,Not for Profit Corporation,40.84153,-73.940964,"(40.84153, -73.940964)"
6555,Pediatric Dentistry Ext Clinic,DTC-EC,Diagnostic and Treatment Center Extension Clinic,6/13/2003,722 West 168th Street,,New York,New York,10032,2123059532,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Columbia University Health Care Inc,7078,7002157R,"Columbia University Health Care, Inc",630 West 168th Street,,New York,New York,10032,,,,,New York,,Not for Profit Corporation,40.842072,-73.94223,"(40.842072, -73.94223)"
7078,Columbia University Health Care Inc,DTC,Diagnostic and Treatment Center,6/15/1997,630 West 168th Street,,New York,New York,10032,2123059904,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002157R,"Columbia University Health Care, Inc",630 West 168th Street,,New York,New York,10032,,,,,New York,,Not for Profit Corporation,40.84153,-73.940964,"(40.84153, -73.940964)"
1437,New York-Presbyterian/Lower Manhattan Hospital,HOSP,Hospital,1/1/1901,170 William Street,,New York,New York,10038,2123125175,,,7093,New York,5,Metropolitan Area Regional Office - New York City,New York-Presbyterian Hospital - New York Weill Cornell Center,1458,7002054H,The New York and Presbyterian Hospital,622 West 168th Street,,New York,New York,10032,,,,,New York,,Not for Profit Corporation,40.710426,-74.005486,"(40.710426, -74.005486)"
9006,"FedCare, Inc.",DTC,Diagnostic and Treatment Center,5/14/2008,344 West 51 Street,,New York,New York,10019,2123140600,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002813R,"FedCare, Inc.",344 West 51st Street,,New York,New York,10019,,,,,New York,,Not for Profit Corporation,40.76363,-73.98748,"(40.76363, -73.98748)"
1529,William F Ryan Community Health Center Inc,DTC,Diagnostic and Treatment Center,1/1/1901,110 West 97th Street,,New York,New York,10025,2123167917,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002243R,William F Ryan Community Health Center Inc,110 West 97th Street,,New York,New York,10025,,,,,New York,,Not for Profit Corporation,40.794228,-73.968834,"(40.794228, -73.968834)"
6903,PS 11 Wt Harris/The Clinton School,,School Based Diagnostic and Treatment Center Extension Clinic,9/1/2006,320 West 21st Street,,New York,New York,10011,2123167956,,,7094,Bronx,5,Metropolitan Area Regional Office - New York City,William F Ryan Community Health Center Inc,1529,7002243R,William F Ryan Community Health Center Inc,110 West 97th Street,,New York,New York,10025,,,,,New York,,Not for Profit Corporation,40.744518,-74.000763,"(40.744518, -74.000763)"
9520,PS 180 Hugo Newman College Preparatory School,,School Based Diagnostic and Treatment Center Extension Clinic,9/4/2012,370 West 120th Street,,New York,New York,10027,2123167977,,,7093,New York,5,Metropolitan Area Regional Office - New York City,William F Ryan Community Health Center Inc,1529,7002243R,William F Ryan Community Health Center Inc,110 West 97th Street,,New York,New York,10025,,,,,New York,,Not for Profit Corporation,40.80788,-73.955772,"(40.80788, -73.955772)"
1486,Henry J. Carter Specialty Hospital,HOSP,Hospital,1/1/1901,1752 Park Avenue,,New York,New York,10035,2123188000,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002050H,New York City Health and Hospital Corporation,125 Worth Street,,New York,New York,10013,,,,,New York,,Municipality,40.802979,-73.940811,"(40.802979, -73.940811)"
1465,Rockefeller University Hospital,HOSP,Hospital,1/1/1901,1230 York Avenue,,New York,New York,10021,2123277511,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002031H,The Rockefeller University Inc,1230 York Avenue,,New York,New York,10021,,,,,New York,,Not for Profit Corporation,40.762962,-73.956512,"(40.762962, -73.956512)"
